date,prgtype,cutoffreq,upper freq,ampstart,ampend,noisethresh,amp calc mode,ak_peak_dec,,,,,,,,,,,,,,,,,,
11/23/2020,LMA 2019-3,300,511,20,20,1.5,1,0.3,,,,,,,,,,,,,,,,,,
call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max
1233_CS3.lma,866.6775,0,no,634,658,1127,587,997,4,56,0.56,0,106,394,634,658,2207,587,1017,1010,658,0.81,1,1104,0.16,0.25
1234_CS1.lma,930.6783,0,no,423,869,892,423,790,5,141,0.69,0.03,27,266,376,869,892,329,776,658,376,0.1,0,282,0.11,0.33
1240_CS1.lma,1261.3491,0,no,775,845,1221,658,1020,4,56,0.4,0.03,93,403,775,845,2419,658,1259,751,845,0.11,1,1245,0.14,0.34
1241_CS2.lma,1648.0206,0,no,751,916,2207,751,1275,11,451,0.18,0.03,142,1053,681,916,3006,540,1778,775,916,0.08,1,1503,0.13,0.29
1243_CS2.lma,522.6732,0,no,399,352,517,352,449,4,38,0.24,-0.01,35,81,399,705,916,399,624,517,705,0.45,1,446,0.14,0.22
1247_CS1.lma,680.0085,0,no,658,658,1033,634,846,4,117,0.16,-0.06,81,364,658,658,1033,634,846,681,658,0.79,0.96,282,0.37,0.54
1249_CS1.lma,1600.02,0,no,564,658,1174,564,995,4,141,0.75,0.02,95,527,564,658,2067,564,1100,1174,916,0.79,0.98,1033,0.13,0.38
1265_CS1.lma,901.3446,0,no,845,1315,1667,845,1371,21,301,0.55,0.03,146,498,822,1315,4204,822,1481,869,1315,0.03,1,2888,0.25,0.35
1268_CS1.lma,538.6734,0,no,681,1010,1221,587,875,22,225,0.69,0.1,131,472,329,423,2419,329,1019,611,423,0.32,1,1127,0.17,0.34
1269_CS2.lma,738.6759,0,no,1080,1432,1714,869,1461,19,277,0.53,0,190,602,705,1432,1714,705,1459,1597,1432,0.72,1,517,0.23,0.31
1273_CS1.lma,1085.3469,0,no,634,1057,1221,634,1081,10,230,0.17,0.03,126,356,611,1057,3640,611,1360,845,1057,0.19,1,2419,0.16,0.33
1280_CS6.lma,832.0104,0,no,728,1198,1503,728,1259,9,122,0.74,0.06,134,477,634,1198,2959,634,1361,658,1198,0.06,1,1597,0.17,0.32
1284_CS1.lma,1026.6795,0,no,705,728,1386,705,1182,9,216,0.61,0.02,141,562,470,728,2748,329,1302,1127,728,0.18,1,1386,0.19,0.43
1288_CS2.lma,826.677,0,no,634,658,1151,587,1001,5,70,0.19,-0.04,138,518,634,658,2278,587,1031,1127,681,0.18,0.98,1151,0.15,0.26
1292_CS3.lma,1098.6804,0,no,775,986,1503,775,1334,4,63,0.61,0.04,100,560,705,986,3757,705,1967,728,1339,0.01,0.43,2301,0.34,0.79
1296_2_CS1.lma,269.3367,0,no,493,376,517,376,443,3,28,0.18,-0.05,15,43,493,728,1292,423,729,916,728,0.3,1,869,0.29,0.49
1296_CS3.lma,920.0115,0,no,658,822,1315,658,1152,6,178,0.22,0,174,511,658,822,1315,564,1151,1268,634,0.7,0.02,329,0.2,0.38
1306_CS1.lma,701.3421,0,no,634,705,1292,634,1044,10,197,0.21,-0.04,208,526,634,705,1292,634,1044,728,728,0.05,0.98,493,0.25,0.36
1322_CS2.lma,504.0063,0,no,798,1104,1151,587,971,14,244,0.53,0.07,142,448,798,1104,2301,564,1089,634,1104,0.14,1,1198,0.17,0.38
1326_CS2.lma,594.6741,0,no,540,540,1127,540,901,8,85,0.29,-0.04,193,459,493,540,2231,376,933,587,611,0.87,0.95,1127,0.17,0.27
1327_CS2.lma,842.6772,0,no,822,775,822,587,762,5,94,0,0,39,172,822,1526,1550,587,835,751,822,0.71,0,822,0.12,0.43
1329_CS3.lma,880.011,0,no,986,1127,1362,681,1217,9,254,0.5,0,119,528,986,1127,2583,681,1255,1268,1127,0.19,1,1292,0.16,0.31
1333_CS2.lma,744.0093,0,no,681,986,1268,658,1116,9,183,0.27,-0.01,135,495,611,986,3405,282,1201,1221,282,0.64,0.93,2254,0.22,0.37
