date,prgtype,cutoffreq,upper freq,ampstart,ampend,noisethresh,amp calc mode,ak_peak_dec,,,,,,,,,,,,,,,,,,
11/23/2020,LMA 2019-3,300,511,20,20,1.5,1,0.3,,,,,,,,,,,,,,,,,,
call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max
KSK204_FU_CS2.lma,1152.0144,0,no,916,1221,1362,916,1292,6,174,0.25,-0.01,52,404,916,1221,2701,916,1581,1292,939,0.88,0.96,1386,0.23,0.4
KSK216_FND_CS3.lma,712.0089,0,no,1362,1127,1550,822,1385,11,268,0.7,0,82,562,2677,1127,3053,423,1352,1292,1127,0.87,1,2231,0.31,0.48
KSK217_FU_CS2.lma,1288.0161,0,no,939,1127,1127,540,926,4,225,0.98,-0.03,100,386,939,1127,1127,282,917,939,282,0.6,0.03,658,0.18,0.41
KSK220_ZS_CS1.lma,968.0121,0,no,587,329,798,329,624,18,263,0.35,-0.01,105,300,1174,329,1292,329,869,658,329,0.18,1,658,0.27,0.48
KSK227_SN_CS3.lma,653.3415,0,no,587,845,1503,587,1052,15,479,0.21,0.04,106,520,587,845,1503,352,1031,1127,587,0.4,0,751,0.23,0.38
KSK230_1_FND_CS3.lma,600.0075,0,no,728,869,1479,728,1277,14,141,0.56,0,125,547,352,869,1479,329,1246,1386,869,0.42,1,705,0.37,0.5
KSK230_2_FND_CS3.lma,536.0067,0,no,916,1268,1432,892,1280,7,56,0.52,0.06,74,258,282,1268,2795,282,1236,1362,1268,0.78,1,1432,0.32,0.42
KSK231_1_FND_CS2.lma,698.6754,0,no,986,1620,1620,916,1308,9,249,0.99,0.03,69,302,329,564,1409,282,1077,352,564,0.05,1,1057,0.3,0.39
KSK231_2_FND_CS1.lma,605.3409,0,no,869,1315,2020,705,1307,22,376,0.23,0.02,141,743,869,1315,2630,705,1529,1315,869,0.85,0,1339,0.35,0.55
KSK234_FND_CS1.lma,528.0066,0,no,798,1198,1855,775,1196,16,333,0.27,0.04,77,700,798,1198,2442,775,1254,1245,798,0.79,0,1221,0.35,0.62
KSK236_FND_CS3.lma,741.3426,0,no,1010,1010,1386,1010,1253,6,56,0.3,-0.03,66,341,1010,1010,5307,1010,1608,1174,1010,0.78,1,3969,0.25,0.46
